Temperature,Humidity,Wind Speed,Precipitation (%),Atmospheric Pressure,Visibility (km),Cc_clear,Cc_cloudy,Cc_overcast,Cc_partly cloudy,Ss_Autumn,Ss_Spring,Ss_Summer,Ss_Winter,Lc_coastal,Lc_inland,Lc_mountain,UV Index,Weather Type
14.0,73,9.5,82.0,1010.82,3.5,0,0,0,1,0,0,0,1,0,1,0,2,Rainy
39.0,96,8.5,71.0,1011.43,10.0,0,0,0,1,0,1,0,0,0,1,0,7,Cloudy
30.0,64,7.0,16.0,1018.72,5.5,1,0,0,0,0,1,0,0,0,0,1,5,Sunny
38.0,83,1.5,82.0,1026.25,1.0,1,0,0,0,0,1,0,0,1,0,0,7,Sunny
27.0,74,17.0,66.0,990.67,2.5,0,0,1,0,0,0,0,1,0,0,1,1,Rainy
32.0,55,3.5,26.0,1010.03,5.0,0,0,1,0,0,0,1,0,0,1,0,2,Cloudy
-2.0,97,8.0,86.0,990.87,4.0,0,0,1,0,0,0,0,1,0,1,0,1,Snowy
3.0,85,6.0,96.0,984.46,3.5,0,0,0,1,0,0,0,1,0,1,0,1,Snowy
3.0,83,6.0,66.0,999.44,1.0,0,0,1,0,0,0,0,1,0,0,1,0,Snowy
28.0,74,8.5,107.0,1012.13,7.5,1,0,0,0,0,0,0,1,1,0,0,8,Sunny
38.0,43,2.0,16.0,1029.16,7.5,1,0,0,0,1,0,0,0,0,1,0,11,Sunny
12.0,59,10.5,25.0,1016.08,5.5,0,0,0,1,1,0,0,0,0,0,1,3,Cloudy
-10.0,87,15.0,67.0,986.19,1.5,0,0,1,0,0,0,0,1,0,1,0,0,Snowy
24.0,21,3.5,8.0,1018.88,5.5,1,0,0,0,0,0,0,1,1,0,0,8,Sunny
10.0,50,6.5,46.0,1000.44,8.5,0,0,0,1,0,0,1,0,0,0,1,2,Cloudy
30.0,27,7.0,13.0,1016.38,7.5,0,0,0,1,0,1,0,0,0,1,0,5,Sunny
33.0,51,0.5,27.0,1009.18,5.5,0,0,1,0,1,0,0,0,1,0,0,3,Cloudy
13.0,102,12.0,72.0,1012.25,8.0,1,0,0,0,0,0,1,0,0,1,0,4,Sunny
-10.0,67,8.5,75.0,991.53,3.0,0,0,1,0,0,0,0,1,0,0,1,1,Snowy
-7.0,88,12.5,98.0,980.31,3.0,0,0,1,0,0,0,0,1,0,1,0,1,Snowy
33.0,36,7.5,18.0,1014.29,9.5,1,0,0,0,0,0,1,0,0,0,1,8,Sunny
26.0,73,13.5,29.0,1012.02,9.0,0,0,1,0,0,0,1,0,0,1,0,1,Cloudy
38.0,83,7.0,101.0,1017.94,8.5,0,0,0,1,0,1,0,0,0,0,1,4,Cloudy
4.0,79,1.0,85.0,982.53,4.5,0,0,0,1,0,0,0,1,0,1,0,1,Snowy
17.0,72,7.5,62.0,1010.16,3.0,0,0,1,0,0,0,1,0,0,0,1,2,Rainy
40.0,57,4.0,12.0,1020.73,9.5,0,0,0,1,0,0,0,1,1,0,0,11,Sunny
24.0,61,6.5,3.0,1018.15,5.5,0,0,0,1,1,0,0,0,0,0,1,7,Sunny
30.0,70,16.0,54.0,1007.75,3.0,0,0,0,1,0,0,0,1,0,0,1,0,Rainy
28.0,85,7.0,97.0,991.07,2.0,0,0,1,0,0,1,0,0,1,0,0,1,Rainy
